model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,30,7.284223063934732,3.4634290115448056,10.111539824031542,5.346294216370373,41.45284838139847,29.61125323804411,2.467821134599822,1.169193395614763,0.7375,0.1710590198487204,0.5427241971235895,0.0,0.0,0.0,0.25
Chronos2,False,False,30,7.5543767171435885,3.9292030437835943,10.36482409046508,5.598118466005686,42.3491115742214,30.50779678938076,2.5509879719534045,1.3010723649982772,0.7180555555555554,0.183492845870341,0.5628524830438428,0.0,0.0,0.0,0.0571428571428571
Toto2,False,False,30,8.310254774844203,4.674724310796734,11.711786890848192,7.387305501427348,44.26669593153807,31.369600049780644,2.7684368850699173,1.41611440233987,0.7689814814814814,0.16760857812037427,0.6191705431016177,0.0,0.0,0.0,0.03773584905660377
Naive,False,False,30,8.819175925925926,5.137468810911973,11.959205347314976,6.965739801289696,46.44230547695489,33.892090399076025,3.014030982864599,1.5796735154518875,0.799537037037037,0.1955551390638101,0.6570886327449136,0.0,0.0,0.0,0.0
Theta,False,False,30,8.85501340994897,5.120627329990377,12.014934745535337,6.992837809716615,47.33260575370818,35.03335498674332,3.348041414858631,1.4303805814829924,0.8851851851851851,0.1473764624135258,0.6597587692265426,0.0,0.0,0.0,0.0289855072463768
RandomForest,False,False,30,9.191447115796874,5.706422488104737,12.561235925055398,8.13740059757736,47.325297565206974,34.837160042689284,4.358275839401669,2.8515386241006864,0.1509259259259259,0.1367771559793711,0.6848253701926293,0.0,0.0,0.0,0.0
XGBoost,False,False,30,9.448579469225248,6.428715327234305,13.126832413657455,9.509363289389768,47.31798694990427,35.06207532652006,4.6806845318518375,3.2147992375390437,0.0296296296296296,0.0299462252385115,0.7039834806519116,0.0,0.0,0.0,0.0
LightGBM,False,False,30,10.262911209479824,7.906588391264767,14.213922107650133,11.066404627193684,49.01608401369343,35.88450827234553,4.778133145733798,3.93221978233826,0.25,0.1909743265877323,0.7646567379152863,0.0606060606060606,0.0317460317460317,0.6666666666666666,0.0606060606060606
Toto,False,False,30,11.99557810429256,4.794047362651247,20.913905589084987,10.166985297467326,55.55147670477179,29.29620532425788,3.336047179585756,1.286555699423304,0.7273148148148149,0.1855603837990892,0.8937522146897042,0.0,0.0,0.0,0.0465116279069767
SeasonalNaive,False,False,30,13.421592592592592,7.159574112932035,17.121520117618065,9.008655388988714,68.40837779535107,37.98356333885022,4.643205539312242,2.393467694463838,0.774537037037037,0.2090322638048621,1.0,0.0,0.0,0.0,0.0
ETS,False,False,30,14.857340597271763,13.020568231436002,20.41239407628837,18.08959356348388,68.08670437021001,38.342936163888616,5.710317255476247,5.213367147574523,0.7995370370370369,0.2189482004307852,1.1069729985301122,0.0298507462686567,0.015625,0.3333333333333333,0.0413793103448275
