model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,30,17.398960019566395,10.671221444724988,24.229802624351,13.419202019450415,71.77161636222085,38.671292717753765,6.088329737054161,3.6495737249741973,0.7157407407407407,0.20869515904819375,0.5650643770788739,0.2589928057553956,0.46153846153846156,0.18,0.16972477064220182
Chronos2,False,False,30,19.69010235212467,14.329872889858558,27.247415174987818,16.1484333050769,71.71771106901446,36.715312634367656,6.739113382464573,4.875391435481055,0.6759259259259258,0.21820245503994573,0.6394735896691758,0.1932367149758454,0.18691588785046728,0.2,0.12302839116719243
Theta,False,False,30,24.756456464676962,26.806605157490072,32.05273494901077,27.5684139571754,75.79432493348561,41.40177674510743,9.732253788217907,9.959989628560038,0.837962962962963,0.23658268086105103,0.8040130924584752,0.20149253731343286,0.16071428571428573,0.27,0.13961312026913375
Naive,False,False,30,25.545564814814806,33.47152775195761,32.81463093635207,33.885773053006986,73.96553833787516,42.782958861686424,10.211535385154566,11.753243245544667,0.7777777777777778,0.28655126158229227,0.8296408896266355,0.20149253731343286,0.16071428571428573,0.27,0.13854351687388988
LightGBM,False,False,30,27.02663415211159,45.57612853646791,34.87534269450018,47.25385037919804,72.7139866045666,42.73078721308891,12.349294403766594,22.514550394593932,0.37314814814814823,0.25114791328701597,0.8777414382542014,0.23214285714285712,0.20967741935483872,0.26,0.2835249042145594
XGBoost,False,False,30,27.592145829894346,40.58978721658829,35.5801966282507,42.997179413782405,75.87044929685366,42.377058217610305,13.667163982393722,20.290007195029716,0.054629629629629625,0.0794571776034257,0.8961075074662568,0.16167664670658682,0.11538461538461539,0.27,0.16119402985074627
RandomForest,False,False,30,30.55323238536147,53.50148928223915,39.46458007879302,57.700665094678534,74.68602054703173,41.951157563256075,14.433749446223725,26.578427672696332,0.300462962962963,0.23918165020958895,0.9922744351481423,0.18430034129692832,0.13989637305699482,0.27,0.18120805369127518
SeasonalNaive,False,False,30,30.791111111111114,13.985814119056068,41.04658101461684,17.949692648543103,104.07103494858205,40.02285759953119,10.778532818171577,4.3214538732072985,0.7930555555555554,0.17440927635596778,1.0,0.02,0.02,0.02,0.05436893203883496
Toto,False,False,30,35.79232317062689,33.29473735493662,67.71236626012139,60.43650124231253,87.50386131371233,34.19386176937394,9.233545351784324,7.704916708156282,0.7587962962962962,0.2041393699733441,1.1624238905010174,0.136986301369863,0.12605042016806722,0.15,0.2030769230769231
ETS,False,False,30,37.584410022445745,36.65446025463685,48.45519481885644,45.03298649138901,102.6104930524037,37.14773949952049,14.443510128296502,15.837455100436285,0.8013888888888887,0.24245693478706165,1.2206253254980213,0.2035928143712575,0.1452991452991453,0.34,0.12539184952978055
